"Phage","Sample","DTPM","logDTPM","RTPM","logRTPM"
"DAB_1054||","B",1262.80229101646,3.10167913831623,7.43934704036487,0.926308846182948
"DAB_1054||","D",65.3880308236709,1.82208978696147,2.84421687270486,0.584807880547538
"DAB_1054||","L",50.234502795753,1.70956252596055,NA,NA
"DAB_1057||","B",5484.73821709371,3.73923507895493,43.8282270360147,1.651551562785
"DAB_1057||","D",1401.48309041433,3.14689763371856,15.6840291630365,1.22230094030438
"DAB_1057||","L",38979.6256871951,4.59084880580047,NA,NA
"DAB_1077||","B",29562.9882964177,4.47076302168111,5879.57628146064,3.76941988791199
"DAB_1077||","D",10823.0567536052,4.03439006072491,7379.89093464056,3.86810878792663
"DAB_1077||","L",11495.8341720433,4.06057826723231,NA,NA
"DAB_264||","B",9810.43163726336,3.99173238218115,194.580475530711,2.29132549772919
"DAB_264||","D",2624.37859274942,3.41919193969864,189.028552036115,2.27881885916403
"DAB_264||","L",61115.6880748462,4.78615981170326,NA,NA
"DAB_436||","B",1880.5147194475,3.2745076202375,3.02793394488713,0.60508233983435
"DAB_436||","D",214.572893608351,2.33359415124379,17.265404001916,1.26162928256285
"DAB_436||","L",107.46065809025,2.03527223521005,NA,NA
"DAB_528||","B",7812.03324974194,3.89281967253033,2952.47916317518,3.47033391125273
"DAB_528||","D",4548.19268820835,3.6579343324451,9283.41200349622,3.96775440438995
"DAB_528||","L",31659.7721588251,4.50052150244761,NA,NA
"DAB_544||","B",46373.0201361008,4.66627474625695,953.390837279482,2.97972626119659
"DAB_544||","D",9846.93654492436,3.99334524156035,840.812789692856,2.92521551971426
"DAB_544||","L",2216.89715351052,3.34594140353611,NA,NA
"DAB_764||","B",1763.45652712002,3.24661096263111,85.6151648552513,1.93759393631724
"DAB_764||","D",477.431094652295,2.6798193979809,459.665259633049,2.66338546183255
"DAB_764||","L",92.4423830724419,1.97054390577447,NA,NA
"DAB_839||","B",4826.44810055941,3.68371761341739,715.756731000568,2.85537178005965
"DAB_839||","D",1869.56390171353,3.27197254904186,176.819136081454,2.24997849593332
"DAB_839||","L",17103.535453623,4.23311128356827,NA,NA
"DAB_881||","B",2501.2855594829,3.39833686963839,122.20439972906,2.09062621711359
"DAB_881||","D",435.690773804039,2.64017401645003,87.3833938838755,1.94637067426564
"DAB_881||","L",127.357039334404,2.10841969116295,NA,NA
"DAB_886||","B",1623.03477852773,3.21059532537372,18.7902874009696,1.29645210121746
"DAB_886||","D",449.400556874378,2.65359891880448,47.0690248856137,1.6818653122453
"DAB_886||","L",105.883823008944,2.02891197920702,NA,NA
"DAB_896||","B",5491.09039244038,3.73973767652812,5651.07696807038,3.75220806729199
"DAB_896||","D",1684.01380154879,3.22660346242512,8214.35071621698,3.9146261083513
"DAB_896||","L",24318.1392223398,4.3859481989887,NA,NA
"DAB_918||","B",6372.44216218208,3.80437404902036,625.434833727552,2.79687589923354
"DAB_918||","D",2593.84653627307,3.41411167801469,337.494275754254,2.52955132876899
"DAB_918||","L",15110.778183284,4.17931557021269,NA,NA
"DAB_929||","B",3944.10967086016,3.59605908074882,47.535552838391,1.6860599807675
