"mat","site","date","min","sec","duration","depth","bicolor_ind","stripe","princess","redband","seaslug_ind","r_bi","r_yel","r_tstripe","r_iprince","r_qu","r_surgeon","r_tang","r_spot","r_ired","r_rock","r_french","r_tprince","r_tred","total.bites","total_excluding_damsel","st_dev_calc","st_dev","species","freq"
9,"Bachelor","16-Jul",28,1,1681,13.2,1,0,0,0,0,5.10410469958358,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,NA,"yellow_goat",0
10,"Bachelor","16-Jul",29,35,1775,13.6,3,9,79,27,0,4.19154929577465,0,0,2.67042253521127,0.304225352112676,0.338028169014085,0,0,0,0.87887323943662,0,0,0,249,125,6,NA,"yellow_goat",0
11,"Aquarius","17-Jul",25,12,1512,17.3,1,0,3,0,0,0,0.119047619047619,0,0.119047619047619,0,0,0,0,0,0,0,0,0,6,6,8,NA,"yellow_goat",3
12,"Aquarius","17-Jul",29,46,1786,15.6,2,0,4,0,0,0.0671892497200448,0,0,0.13437849944009,0,0,0,0,0,0,0,0,0,6,4,10,NA,"yellow_goat",0
13,"Aquarius","17-Jul",26,44,1604,14.9,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,5,5,0,NA,"yellow_goat",0
14,"Aquarius","17-Jul",28,24,1704,16.1,0,0,0,0,0,0,0,0,0,0,0,0,2.67605633802817,0,0,0,0,0,76,76,0,NA,"yellow_goat",0
15,"Aquarius","17-Jul",30,47,1847,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"yellow_goat",0
16,"Aquarius","17-Jul",28,1,1681,15.9,1,9,0,0,0,0.49970255800119,0,0.321237358715051,0,0,0,0,0,0,0,0,0,0,23,9,10,NA,"yellow_goat",0
17,"Aquarius","17-Jul",26,26,1586,13.4,1,0,5,0,0,0,0,0,0.189155107187894,0,0,0,0,0,0,0,0,0,5,5,36,NA,"yellow_goat",0
18,"Angel City","16-Jul",32,12,1932,13.9,3,16,2,0,0,2.20496894409938,0,0.15527950310559,0.062111801242236,0.341614906832298,0,0,0,0.062111801242236,0,0,0,0,91,20,18,NA,"yellow_goat",0
19,"Angel City","16-Jul",28,1,1681,17,3,9,0,0,0,1.46341463414634,0.142772159428911,0.321237358715051,0,0,0,0,0,0,0,0,0,0,54,13,22,NA,"yellow_goat",4
